dnum,sales,pool,ev_expost,ev_exante
2016082,323658370,1048143580,4.7035,-1.6519
2016083,291921542,1056212003,4.7954,-1.5902
2016084,288778286,1068920080,4.8001,-1.5619
2016085,319888112,1079747823,4.7081,-1.5830
2016086,286788850,1098197736,4.9681,-1.5497
2016087,288396896,1124530659,4.9731,-1.4341
2016088,320354148,1149627355,4.9513,-1.5104
2016089,288232376,1120249570,4.7094,-1.6742
2016090,294008068,1033308810,4.5926,-1.6923
2016091,329710234,994429110,4.6359,-1.6616
2016092,299992386,908473144,4.5474,-1.7078
2016093,298416216,843280596,4.6029,-1.6890
2016094,324311584,861184896,4.8719,-1.5221
2016095,297413702,866140800,4.8295,-1.5990
2016096,296887214,888068045,4.8585,-1.5239
2016097,327274678,886496310,4.7662,-1.6176
2016098,296350008,908084049,4.9755,-1.4658
2016099,300016648,930007164,4.8621,-1.5016
2016100,335027586,960230040,4.9815,-1.4586
2016101,303829992,1005245634,5.2542,-1.4320
2016102,304528374,1007804693,4.6545,-1.6074
2016103,334526552,977024997,4.6693,-1.6630
2016104,304391928,1025995488,5.0542,-1.4336
2016105,304435234,1011744422,4.7095,-1.6367
2016106,329967722,1036874166,4.8685,-1.5280
2016107,295842288,1016647606,4.6473,-1.6466
2016108,278530656,1033314654,4.7645,-1.5574
2016109,339043452,1031137928,4.7552,-1.6197
2016110,306664040,1037073225,4.8451,-1.5892
2016111,310894592,1080979719,5.0906,-1.4333
2016112,339124224,1082109240,4.7580,-1.6113
2016113,301675518,1097496306,4.8408,-1.5612
2016114,300350554,1005529350,4.5632,-1.7047
2016115,307770194,984826752,4.8466,-1.6458
2016116,268669114,997623156,4.9648,-1.5687
2016117,281128494,971854560,4.6391,-1.6586
2016118,338792784,1017168724,5.0321,-1.4340
2016119,302415052,1044045944,4.7933,-1.4769
2016120,309329228,1054589076,4.7526,-1.5783
2016121,340006950,1082073970,4.9077,-1.5011
2016122,305059324,1089129612,4.7770,-1.5899
2016123,305299416,1119192450,4.8726,-1.4350
2016124,370331346,1144946805,4.8728,-1.5085
2016125,346147358,1117386530,4.6396,-1.6712
2016126,347402822,1154908300,4.9041,-1.4349
2016127,377635784,1208693682,4.9700,-1.4345
2016128,346505806,1172302677,4.6470,-1.6586
2016129,356293078,1236923614,5.0070,-1.4342
2016130,389013348,1258366632,4.9280,-1.5586
2016131,341425796,1286258608,4.9120,-1.4710
2016132,349399364,1107687796,4.5122,-1.7142
2016133,397601552,1035115770,4.6384,-1.6720
2016134,356409344,1057618368,4.8868,-1.5560
2016135,353219786,973012992,4.6112,-1.6870
2016136,396457052,989371808,4.8316,-1.5722
2016137,339962622,1024045140,5.0159,-1.4357
2016138,350229764,998764932,4.6446,-1.6579
2016139,395456724,1041642655,5.0581,-1.4376
2016140,360447386,998908480,4.7202,-1.6689
2016141,371798444,1025247440,4.9042,-1.5366
